id_User,assignment,userid,grade,attemptnumber,grupo,userna,tarea,duedate,completionsubmit,lastlogin,timecreated,status,latest,fechaEntrega,ultimoAcceso,semxmatricula,seniority_year
1789,1357,1789,100,0,205B,24050045,Actividad 10. 205B,1743919140,1,1744165027,1726677288,submitted,1,06/04/2025,09/04/2025,2,0
1594,1470,1594,50,0,205B,24050025,EvaluaciÃ³n unidad 1,1717860600,1,1743894012,1724644719,new,1,08/06/2024,05/04/2025,2,0
1350,1474,1350,60,0,205B,23050043,EvaluaciÃ³n unidad 2,1717860600,1,1743284106,1696989989,new,1,08/06/2024,29/03/2025,4,1
1745,1474,1745,60,0,205B,24050039,EvaluaciÃ³n unidad 2,1717860600,1,1742952527,1724947832,new,1,08/06/2024,26/03/2025,2,0
1789,1474,1789,60,0,205B,24050045,EvaluaciÃ³n unidad 2,1717860600,1,1744165027,1726677288,new,1,08/06/2024,09/04/2025,2,0
1350,2462,1350,100,0,205B,23050043,Actividad 10 205B,1743141540,1,1743284106,1696989989,submitted,1,28/03/2025,29/03/2025,4,1
1570,2462,1570,100,0,205B,24050001,Actividad 10 205B,1743141540,1,1743290301,1724632734,submitted,1,28/03/2025,29/03/2025,2,0
1572,2462,1572,100,0,205B,24050003,Actividad 10 205B,1743141540,1,1743478510,1724633011,submitted,1,28/03/2025,01/04/2025,2,0
1575,2462,1575,100,0,205B,24050006,Actividad 10 205B,1743141540,1,1743441727,1724633261,submitted,1,28/03/2025,31/03/2025,2,0
1578,2462,1578,100,0,205B,24050009,Actividad 10 205B,1743141540,1,1743284002,1724633587,submitted,1,28/03/2025,29/03/2025,2,0
1587,2462,1587,100,0,205B,24050018,Actividad 10 205B,1743141540,1,1743479255,1724643946,submitted,1,28/03/2025,01/04/2025,2,0
1591,2462,1591,100,0,205B,24050022,Actividad 10 205B,1743141540,1,1743544931,1724644384,submitted,1,28/03/2025,01/04/2025,2,0
1594,2462,1594,100,0,205B,24050025,Actividad 10 205B,1743141540,1,1743894012,1724644719,submitted,1,28/03/2025,05/04/2025,2,0
1595,2462,1595,100,0,205B,24050026,Actividad 10 205B,1743141540,1,1743445304,1724644852,submitted,1,28/03/2025,31/03/2025,2,0
1602,2462,1602,100,0,205B,24050033,Actividad 10 205B,1743141540,1,1743284169,1724645525,submitted,1,28/03/2025,29/03/2025,2,0
1605,2462,1605,100,0,205B,24050036,Actividad 10 205B,1743141540,1,1743619616,1724645833,submitted,1,28/03/2025,02/04/2025,2,0
